happy,comp,sex,age,edu,employ,rel_per,rel_den,social_class,people_trust
Quite happy,1,Female,22,Lower secondary education (ISCED 2),Homemaker not otherwise employed,A religious person,Muslim,Lower middle class,Need to be very careful
Very happy,1,Female,42,Upper secondary education (ISCED 3),Homemaker not otherwise employed,A religious person,Muslim,Working class,Need to be very careful
Very happy,1,Female,50,Primary education (ISCED 1),Unemployed,A religious person,Muslim,Lower middle class,Need to be very careful
Very happy,10,Female,25,Early childhood education (ISCED 0) / no education,Homemaker not otherwise employed,A religious person,Muslim,Working class,Need to be very careful
Very happy,10,Female,22,Early childhood education (ISCED 0) / no education,Homemaker not otherwise employed,A religious person,Muslim,Working class,Need to be very careful
Quite happy,10,Female,27,Primary education (ISCED 1),Homemaker not otherwise employed,A religious person,Muslim,Don't know,Need to be very careful
Quite happy,1,Female,22,Early childhood education (ISCED 0) / no education,Homemaker not otherwise employed,A religious person,Muslim,Lower middle class,Need to be very careful
Very happy,1,Female,32,Upper secondary education (ISCED 3),Homemaker not otherwise employed,A religious person,Muslim,Working class,Need to be very careful
Very happy,1,Female,35,Early childhood education (ISCED 0) / no education,Homemaker not otherwise employed,A religious person,Muslim,Lower class,Need to be very careful
Very happy,10,Female,55,Early childhood education (ISCED 0) / no education,Part time (less than 30 hours a week),A religious person,Muslim,Working class,Need to be very careful
Very happy,1,Female,34,Upper secondary education (ISCED 3),Homemaker not otherwise employed,A religious person,Muslim,Don't know,Need to be very careful
Quite happy,1,Female,42,Upper secondary education (ISCED 3),Unemployed,A religious person,Muslim,Working class,Need to be very careful
Quite happy,10,Male,31,Post-secondary non-tertiary education (ISCED 4),Self employed,A religious person,Muslim,Lower middle class,Need to be very careful
Not very happy,10,Male,20,Lower secondary education (ISCED 2),Part time (less than 30 hours a week),A religious person,Muslim,Upper middle class,Need to be very careful
Very happy,5,Male,26,Bachelor or equivalent (ISCED 6),Part time (less than 30 hours a week),A religious person,Muslim,Upper class,Most people can be trusted
Very happy,5,Male,30,Upper secondary education (ISCED 3),Full time (30 hours a week or more),A religious person,Muslim,Lower middle class,Need to be very careful
Very happy,2,Male,23,Post-secondary non-tertiary education (ISCED 4),Part time (less than 30 hours a week),A religious person,Muslim,Upper middle class,Need to be very careful
Very happy,3,Male,27,Bachelor or equivalent (ISCED 6),Part time (less than 30 hours a week),A religious person,Muslim,Lower middle class,Most people can be trusted
Very happy,2,Male,22,Master or equivalent (ISCED 7),Student,A religious person,Muslim,Upper middle class,Need to be very careful
Quite happy,2,Male,27,Post-secondary non-tertiary education (ISCED 4),Full time (30 hours a week or more),A religious person,Muslim,Upper middle class,Most people can be trusted
Not at all happy,4,Male,23,Bachelor or equivalent (ISCED 6),Full time (30 hours a week or more),A religious person,Muslim,Upper middle class,Need to be very careful
Quite happy,10,Male,22,Upper secondary education (ISCED 3),Full time (30 hours a week or more),A religious person,Muslim,Working class,Need to be very careful
Very happy,7,Male,48,Upper secondary education (ISCED 3),Full time (30 hours a week or more),A religious person,Muslim,Working class,Most people can be trusted
Not at all happy,1,Male,74,Master or equivalent (ISCED 7),Retired/pensioned,A religious person,Muslim,Lower middle class,Need to be very careful
Quite happy,7,Male,27,Upper secondary education (ISCED 3),Self employed,A religious person,Muslim,Working class,Need to be very careful
Very happy,3,Male,56,Lower secondary education (ISCED 2),Full time (30 hours a week or more),A religious person,Muslim,Upper middle class,Need to be very careful
Quite happy,5,Male,26,Primary education (ISCED 1),Full time (30 hours a week or more),An atheist,Muslim,Lower middle class,Need to be very careful
Very happy,2,Male,30,Upper secondary education (ISCED 3),Part time (less than 30 hours a week),A religious person,Muslim,Lower middle class,Need to be very careful
Very happy,4,Male,26,Upper secondary education (ISCED 3),Full time (30 hours a week or more),A religious person,Muslim,Upper class,Need to be very careful
Quite happy,1,Male,32,Upper secondary education (ISCED 3),Full time (30 hours a week or more),A religious person,Muslim,Lower middle class,Need to be very careful
Quite happy,5,Male,23,Post-secondary non-tertiary education (ISCED 4),Full time (30 hours a week or more),A religious person,Muslim,Upper middle class,Most people can be trusted
Quite happy,1,Female,38,Bachelor or equivalent (ISCED 6),Homemaker not otherwise employed,A religious person,Muslim,Lower middle class,Need to be very careful
Quite happy,1,Male,28,Lower secondary education (ISCED 2),Full time (30 hours a week or more),Not a religious person,Muslim,Lower middle class,Need to be very careful
Very happy,1,Female,38,Primary education (ISCED 1),Homemaker not otherwise employed,A religious person,Muslim,Upper middle class,Need to be very careful
Quite happy,4,Female,25,Post-secondary non-tertiary education (ISCED 4),Unemployed,A religious person,Muslim,Lower middle class,Need to be very careful
Not very happy,5,Female,49,Early childhood education (ISCED 0) / no education,Homemaker not otherwise employed,A religious person,Muslim,Lower class,Need to be very careful
Quite happy,10,Male,30,Upper secondary education (ISCED 3),Self employed,A religious person,Muslim,Lower middle class,Most people can be trusted
Very happy,1,Female,45,Upper secondary education (ISCED 3),Homemaker not otherwise employed,A religious person,Muslim,Lower middle class,Need to be very careful
Quite happy,1,Female,60,Early childhood education (ISCED 0) / no education,Unemployed,A religious person,Muslim,Lower middle class,Need to be very careful
Quite happy,1,Female,38,Lower secondary education (ISCED 2),Homemaker not otherwise employed,A religious person,Muslim,Lower middle class,Need to be very careful
Very happy,1,Female,25,Master or equivalent (ISCED 7),Full time (30 hours a week or more),A religious person,Muslim,Upper middle class,Most people can be trusted
Very happy,1,Female,35,Lower secondary education (ISCED 2),Homemaker not otherwise employed,A religious person,Muslim,Upper middle class,Need to be very careful
Quite happy,5,Male,40,Lower secondary education (ISCED 2),Full time (30 hours a week or more),A religious person,Muslim,Lower middle class,Need to be very careful
Quite happy,5,Male,60,Lower secondary education (ISCED 2),Unemployed,A religious person,Muslim,Working class,Most people can be trusted
Quite happy,3,Male,48,Upper secondary education (ISCED 3),Part time (less than 30 hours a week),Not a religious person,Muslim,Lower middle class,Need to be very careful
Very happy,1,Male,35,Upper secondary education (ISCED 3),Full time (30 hours a week or more),A religious person,Muslim,Working class,Most people can be trusted
Not at all happy,1,Male,28,Lower secondary education (ISCED 2),Self employed,Not a religious person,Muslim,Lower middle class,Most people can be trusted
Not at all happy,5,Male,45,Post-secondary non-tertiary education (ISCED 4),Full time (30 hours a week or more),A religious person,Muslim,Working class,Need to be very careful
Not very happy,1,Male,50,Early childhood education (ISCED 0) / no education,Retired/pensioned,A religious person,Muslim,Lower middle class,Need to be very careful
Very happy,10,Male,30,Primary education (ISCED 1),Full time (30 hours a week or more),Not a religious person,Muslim,Lower middle class,Need to be very careful
Quite happy,1,Male,50,Master or equivalent (ISCED 7),Self employed,An atheist,Muslim,Upper middle class,Need to be very careful
Very happy,1,Male,42,Upper secondary education (ISCED 3),Full time (30 hours a week or more),Not a religious person,Muslim,Lower middle class,Need to be very careful
Quite happy,3,Female,26,Early childhood education (ISCED 0) / no education,Homemaker not otherwise employed,A religious person,Muslim,Lower middle class,Need to be very careful
Quite happy,1,Female,35,Early childhood education (ISCED 0) / no education,Homemaker not otherwise employed,A religious person,Muslim,Lower middle class,Need to be very careful
Quite happy,6,Female,45,Upper secondary education (ISCED 3),Homemaker not otherwise employed,A religious person,Muslim,Lower middle class,Need to be very careful
Quite happy,9,Female,24,Early childhood education (ISCED 0) / no education,Homemaker not otherwise employed,A religious person,Muslim,Lower class,Need to be very careful
Very happy,3,Female,38,Post-secondary non-tertiary education (ISCED 4),Homemaker not otherwise employed,A religious person,Muslim,Working class,Need to be very careful
Very happy,3,Female,28,Upper secondary education (ISCED 3),Homemaker not otherwise employed,A religious person,Muslim,Upper class,Need to be very careful
Very happy,2,Female,42,Early childhood education (ISCED 0) / no education,Homemaker not otherwise employed,A religious person,Muslim,Lower middle class,Need to be very careful
Very happy,10,Female,38,Early childhood education (ISCED 0) / no education,Homemaker not otherwise employed,A religious person,Muslim,Working class,Most people can be trusted
Quite happy,7,Female,75,Early childhood education (ISCED 0) / no education,Full time (30 hours a week or more),A religious person,Muslim,Lower class,Need to be very careful
Very happy,1,Female,42,Upper secondary education (ISCED 3),Homemaker not otherwise employed,A religious person,Muslim,Working class,Need to be very careful
Very happy,1,Female,50,Post-secondary non-tertiary education (ISCED 4),Homemaker not otherwise employed,A religious person,Muslim,Working class,Need to be very careful
Very happy,2,Female,40,Upper secondary education (ISCED 3),Full time (30 hours a week or more),A religious person,Muslim,Working class,Need to be very careful
Very happy,10,Female,35,Master or equivalent (ISCED 7),Homemaker not otherwise employed,A religious person,Muslim,Lower middle class,Need to be very careful
Very happy,1,Female,65,Bachelor or equivalent (ISCED 6),Part time (less than 30 hours a week),A religious person,Muslim,Upper middle class,Need to be very careful
Very happy,10,Female,21,Primary education (ISCED 1),Homemaker not otherwise employed,A religious person,Muslim,Working class,Need to be very careful
Quite happy,3,Female,49,Lower secondary education (ISCED 2),Homemaker not otherwise employed,A religious person,Muslim,Working class,Need to be very careful
Quite happy,1,Female,53,Bachelor or equivalent (ISCED 6),Homemaker not otherwise employed,A religious person,Muslim,Upper middle class,Need to be very careful
Very happy,1,Female,45,Primary education (ISCED 1),Homemaker not otherwise employed,A religious person,Muslim,Working class,Need to be very careful
Very happy,1,Female,26,Master or equivalent (ISCED 7),Homemaker not otherwise employed,A religious person,Muslim,Working class,Need to be very careful
Very happy,4,Male,20,Early childhood education (ISCED 0) / no education,Part time (less than 30 hours a week),A religious person,Muslim,Lower class,Need to be very careful
Very happy,3,Male,20,Early childhood education (ISCED 0) / no education,Student,A religious person,Muslim,Lower class,Need to be very careful
Quite happy,1,Male,65,Primary education (ISCED 1),Retired/pensioned,A religious person,Muslim,Working class,Need to be very careful
Very happy,2,Male,60,Upper secondary education (ISCED 3),Full time (30 hours a week or more),Not a religious person,Other,Lower middle class,Need to be very careful
Very happy,2,Male,18,Upper secondary education (ISCED 3),Full time (30 hours a week or more),A religious person,Muslim,Working class,Need to be very careful
Very happy,1,Male,50,Post-secondary non-tertiary education (ISCED 4),Full time (30 hours a week or more),Not a religious person,Muslim,Lower class,Need to be very careful
Quite happy,1,Male,45,Post-secondary non-tertiary education (ISCED 4),Full time (30 hours a week or more),A religious person,Muslim,Lower middle class,Most people can be trusted
Quite happy,10,Male,50,Early childhood education (ISCED 0) / no education,Full time (30 hours a week or more),A religious person,Muslim,Lower class,Need to be very careful
Quite happy,1,Male,48,Post-secondary non-tertiary education (ISCED 4),Full time (30 hours a week or more),A religious person,Muslim,Working class,Need to be very careful
Very happy,8,Male,20,Lower secondary education (ISCED 2),Full time (30 hours a week or more),A religious person,Muslim,Working class,Need to be very careful
Very happy,3,Male,22,Early childhood education (ISCED 0) / no education,Self employed,A religious person,Muslim,Upper class,Need to be very careful
Quite happy,2,Male,65,Early childhood education (ISCED 0) / no education,Full time (30 hours a week or more),A religious person,Muslim,Lower class,Need to be very careful
Very happy,3,Male,29,Early childhood education (ISCED 0) / no education,Full time (30 hours a week or more),A religious person,Muslim,Lower middle class,Need to be very careful
Quite happy,1,Male,35,Upper secondary education (ISCED 3),Full time (30 hours a week or more),A religious person,Muslim,Lower class,Need to be very careful
Quite happy,10,Male,42,Early childhood education (ISCED 0) / no education,Full time (30 hours a week or more),A religious person,Muslim,Lower class,Need to be very careful
Quite happy,1,Male,25,Upper secondary education (ISCED 3),Self employed,Don't know,Muslim,Lower middle class,Don't know
Very happy,1,Male,55,Lower secondary education (ISCED 2),Full time (30 hours a week or more),A religious person,Muslim,Lower class,Most people can be trusted
Very happy,1,Male,35,Lower secondary education (ISCED 2),Full time (30 hours a week or more),A religious person,Muslim,Lower class,Need to be very careful
Very happy,2,Male,20,Early childhood education (ISCED 0) / no education,Self employed,A religious person,Muslim,Lower middle class,Need to be very careful
Very happy,5,Male,22,Upper secondary education (ISCED 3),Retired/pensioned,A religious person,Muslim,Lower middle class,Need to be very careful
Quite happy,3,Male,19,Lower secondary education (ISCED 2),Full time (30 hours a week or more),A religious person,Muslim,Upper middle class,Need to be very careful
Very happy,1,Male,30,Bachelor or equivalent (ISCED 6),Full time (30 hours a week or more),Don't know,Muslim,Upper middle class,Need to be very careful
Quite happy,5,Male,20,Master or equivalent (ISCED 7),Student,A religious person,Muslim,Upper class,Most people can be trusted
Not very happy,10,Male,65,Lower secondary education (ISCED 2),Full time (30 hours a week or more),A religious person,Muslim,Lower class,Need to be very careful
Quite happy,3,Male,48,Early childhood education (ISCED 0) / no education,Full time (30 hours a week or more),A religious person,Muslim,Lower class,Need to be very careful
Not very happy,4,Male,23,Early childhood education (ISCED 0) / no education,Full time (30 hours a week or more),A religious person,Muslim,Upper middle class,Need to be very careful
Not very happy,4,Male,46,Early childhood education (ISCED 0) / no education,Full time (30 hours a week or more),A religious person,Muslim,Lower middle class,Need to be very careful
Very happy,10,Female,36,Upper secondary education (ISCED 3),Homemaker not otherwise employed,A religious person,Muslim,Lower middle class,Need to be very careful
Quite happy,1,Female,20,Upper secondary education (ISCED 3),Homemaker not otherwise employed,A religious person,Muslim,Working class,Need to be very careful
Very happy,1,Female,50,Early childhood education (ISCED 0) / no education,Homemaker not otherwise employed,A religious person,Muslim,Working class,Need to be very careful
Very happy,1,Female,38,Primary education (ISCED 1),Homemaker not otherwise employed,A religious person,Muslim,Working class,Need to be very careful
Very happy,1,Female,30,Lower secondary education (ISCED 2),Homemaker not otherwise employed,A religious person,Muslim,Lower middle class,Need to be very careful
Very happy,1,Female,50,Upper secondary education (ISCED 3),Homemaker not otherwise employed,A religious person,Muslim,Upper middle class,Most people can be trusted
Very happy,1,Female,42,Lower secondary education (ISCED 2),Homemaker not otherwise employed,A religious person,Muslim,Working class,Need to be very careful
Quite happy,4,Female,35,Lower secondary education (ISCED 2),Homemaker not otherwise employed,A religious person,Muslim,Upper middle class,Need to be very careful
Very happy,5,Female,40,Lower secondary education (ISCED 2),Part time (less than 30 hours a week),A religious person,Muslim,Upper middle class,Need to be very careful
Very happy,5,Female,35,Early childhood education (ISCED 0) / no education,Homemaker not otherwise employed,A religious person,Muslim,Upper middle class,Need to be very careful
Very happy,1,Female,19,Upper secondary education (ISCED 3),Homemaker not otherwise employed,A religious person,Muslim,Upper middle class,Need to be very careful
Quite happy,5,Female,50,Bachelor or equivalent (ISCED 6),Full time (30 hours a week or more),A religious person,Muslim,Upper middle class,Need to be very careful
Quite happy,10,Female,45,Upper secondary education (ISCED 3),Part time (less than 30 hours a week),A religious person,Muslim,Upper middle class,Most people can be trusted
Not very happy,10,Female,28,Upper secondary education (ISCED 3),Homemaker not otherwise employed,A religious person,Muslim,Working class,Need to be very careful
Not very happy,1,Female,48,Post-secondary non-tertiary education (ISCED 4),Homemaker not otherwise employed,A religious person,Muslim,Upper middle class,Need to be very careful
Quite happy,1,Female,33,Upper secondary education (ISCED 3),Homemaker not otherwise employed,A religious person,Muslim,Upper class,Need to be very careful
Quite happy,1,Female,45,Post-secondary non-tertiary education (ISCED 4),Homemaker not otherwise employed,A religious person,Muslim,Working class,Need to be very careful
Quite happy,1,Female,22,Upper secondary education (ISCED 3),Student,A religious person,Muslim,Lower middle class,Need to be very careful
Quite happy,1,Female,43,Post-secondary non-tertiary education (ISCED 4),Homemaker not otherwise employed,A religious person,Muslim,Upper middle class,Most people can be trusted
Quite happy,1,Male,50,Post-secondary non-tertiary education (ISCED 4),Part time (less than 30 hours a week),A religious person,Muslim,Upper middle class,Need to be very careful
Quite happy,10,Female,32,Post-secondary non-tertiary education (ISCED 4),Homemaker not otherwise employed,A religious person,Muslim,Upper middle class,Need to be very careful
Not very happy,4,Male,55,Short-cycle tertiary education (ISCED 5),Full time (30 hours a week or more),A religious person,Muslim,Lower class,Need to be very careful
Quite happy,5,Male,43,Short-cycle tertiary education (ISCED 5),Full time (30 hours a week or more),A religious person,Muslim,Working class,Need to be very careful
Not very happy,3,Male,30,Post-secondary non-tertiary education (ISCED 4),Full time (30 hours a week or more),A religious person,Muslim,Working class,Need to be very careful
Very happy,1,Male,18,Upper secondary education (ISCED 3),Unemployed,A religious person,Muslim,Lower middle class,Need to be very careful
Very happy,1,Male,38,Early childhood education (ISCED 0) / no education,Self employed,A religious person,Muslim,Lower middle class,Need to be very careful
Quite happy,1,Male,42,Early childhood education (ISCED 0) / no education,Full time (30 hours a week or more),A religious person,Muslim,Upper middle class,Need to be very careful
Quite happy,1,Male,55,Primary education (ISCED 1),Full time (30 hours a week or more),A religious person,Muslim,Lower middle class,Need to be very careful
Quite happy,1,Male,60,Early childhood education (ISCED 0) / no education,Unemployed,A religious person,Muslim,Lower middle class,Need to be very careful
Quite happy,7,Male,27,Upper secondary education (ISCED 3),Retired/pensioned,Not a religious person,Muslim,Upper middle class,Need to be very careful
Not very happy,2,Male,18,Early childhood education (ISCED 0) / no education,Part time (less than 30 hours a week),A religious person,Muslim,Lower class,Need to be very careful
Very happy,1,Male,32,Post-secondary non-tertiary education (ISCED 4),Full time (30 hours a week or more),A religious person,Muslim,Lower middle class,Need to be very careful
Quite happy,1,Female,28,Bachelor or equivalent (ISCED 6),Homemaker not otherwise employed,A religious person,Muslim,Working class,Need to be very careful
Very happy,10,Female,25,Bachelor or equivalent (ISCED 6),Homemaker not otherwise employed,A religious person,Muslim,Upper middle class,Need to be very careful
Very happy,1,Female,35,Bachelor or equivalent (ISCED 6),Homemaker not otherwise employed,A religious person,Muslim,Lower middle class,Need to be very careful
Quite happy,2,Female,40,Post-secondary non-tertiary education (ISCED 4),Homemaker not otherwise employed,A religious person,Muslim,Lower middle class,Need to be very careful
Very happy,1,Female,39,Bachelor or equivalent (ISCED 6),Homemaker not otherwise employed,A religious person,Muslim,Working class,Need to be very careful
Very happy,1,Female,22,Post-secondary non-tertiary education (ISCED 4),Homemaker not otherwise employed,A religious person,Muslim,Upper middle class,Need to be very careful
Quite happy,1,Female,35,Bachelor or equivalent (ISCED 6),Homemaker not otherwise employed,Not a religious person,Muslim,Lower middle class,Need to be very careful
Very happy,10,Female,35,Early childhood education (ISCED 0) / no education,Homemaker not otherwise employed,A religious person,Muslim,Working class,Need to be very careful
Very happy,1,Female,45,Post-secondary non-tertiary education (ISCED 4),Homemaker not otherwise employed,A religious person,Muslim,Working class,Need to be very careful
Very happy,2,Female,22,Post-secondary non-tertiary education (ISCED 4),Homemaker not otherwise employed,A religious person,Muslim,Working class,Need to be very careful
Very happy,10,Female,39,Bachelor or equivalent (ISCED 6),Homemaker not otherwise employed,A religious person,Muslim,Upper middle class,Need to be very careful
Very happy,7,Female,25,Upper secondary education (ISCED 3),Homemaker not otherwise employed,A religious person,Muslim,Upper middle class,Need to be very careful
Very happy,6,Female,19,Post-secondary non-tertiary education (ISCED 4),Student,A religious person,Muslim,Lower middle class,Need to be very careful
Very happy,1,Female,38,Master or equivalent (ISCED 7),Part time (less than 30 hours a week),A religious person,Muslim,Upper middle class,Need to be very careful
Very happy,1,Female,48,Post-secondary non-tertiary education (ISCED 4),Homemaker not otherwise employed,A religious person,Muslim,Upper middle class,Need to be very careful
Quite happy,5,Female,45,Lower secondary education (ISCED 2),Homemaker not otherwise employed,A religious person,Muslim,Working class,Need to be very careful
Very happy,5,Female,75,Early childhood education (ISCED 0) / no education,Homemaker not otherwise employed,A religious person,Muslim,Lower middle class,Need to be very careful
Very happy,1,Female,42,Bachelor or equivalent (ISCED 6),Homemaker not otherwise employed,A religious person,Muslim,Upper middle class,Need to be very careful
Quite happy,1,Female,50,Bachelor or equivalent (ISCED 6),Homemaker not otherwise employed,A religious person,Muslim,Upper middle class,Need to be very careful
Very happy,2,Female,42,Bachelor or equivalent (ISCED 6),Part time (less than 30 hours a week),A religious person,Muslim,Upper middle class,Need to be very careful
Quite happy,1,Female,20,Post-secondary non-tertiary education (ISCED 4),Student,A religious person,Muslim,Upper middle class,Need to be very careful
Quite happy,6,Female,45,Upper secondary education (ISCED 3),Homemaker not otherwise employed,A religious person,Muslim,Lower middle class,Need to be very careful
Very happy,2,Female,30,Primary education (ISCED 1),Homemaker not otherwise employed,A religious person,Muslim,Upper class,Most people can be trusted
Very happy,1,Female,42,Lower secondary education (ISCED 2),Homemaker not otherwise employed,A religious person,Muslim,Lower middle class,Need to be very careful
Quite happy,10,Female,22,Primary education (ISCED 1),Homemaker not otherwise employed,A religious person,Muslim,Working class,Most people can be trusted
Very happy,10,Female,42,Early childhood education (ISCED 0) / no education,Homemaker not otherwise employed,A religious person,Muslim,Working class,Need to be very careful
Very happy,1,Female,60,Early childhood education (ISCED 0) / no education,Homemaker not otherwise employed,A religious person,Muslim,Lower middle class,Need to be very careful
Quite happy,1,Female,21,Master or equivalent (ISCED 7),Part time (less than 30 hours a week),A religious person,Muslim,Upper middle class,Need to be very careful
Very happy,10,Female,18,Post-secondary non-tertiary education (ISCED 4),Student,A religious person,Muslim,Working class,Need to be very careful
Very happy,10,Female,42,Early childhood education (ISCED 0) / no education,Homemaker not otherwise employed,A religious person,Muslim,Lower class,Most people can be trusted
Quite happy,1,Female,22,Primary education (ISCED 1),Homemaker not otherwise employed,A religious person,Muslim,Don't know,Need to be very careful
Quite happy,5,Female,30,Early childhood education (ISCED 0) / no education,Homemaker not otherwise employed,A religious person,Muslim,Working class,Most people can be trusted
Very happy,1,Female,50,Primary education (ISCED 1),Homemaker not otherwise employed,A religious person,Muslim,Working class,Need to be very careful
Very happy,10,Female,18,Early childhood education (ISCED 0) / no education,Homemaker not otherwise employed,A religious person,Muslim,Don't know,Most people can be trusted
Very happy,1,Female,20,Primary education (ISCED 1),Homemaker not otherwise employed,A religious person,Muslim,Don't know,Need to be very careful
Very happy,1,Female,25,Primary education (ISCED 1),Homemaker not otherwise employed,A religious person,Muslim,Working class,Need to be very careful
Quite happy,1,Female,40,Primary education (ISCED 1),Part time (less than 30 hours a week),A religious person,Muslim,Working class,Most people can be trusted
Very happy,1,Female,40,Early childhood education (ISCED 0) / no education,Homemaker not otherwise employed,A religious person,Muslim,Working class,Need to be very careful
Very happy,1,Female,35,Early childhood education (ISCED 0) / no education,Homemaker not otherwise employed,A religious person,Muslim,Working class,Need to be very careful
Very happy,1,Female,23,Early childhood education (ISCED 0) / no education,Homemaker not otherwise employed,A religious person,Muslim,Working class,Most people can be trusted
Quite happy,1,Female,25,Primary education (ISCED 1),Homemaker not otherwise employed,A religious person,Muslim,Working class,Need to be very careful
Not at all happy,7,Female,40,Early childhood education (ISCED 0) / no education,Homemaker not otherwise employed,A religious person,Muslim,Working class,Need to be very careful
Not at all happy,10,Female,40,Early childhood education (ISCED 0) / no education,Homemaker not otherwise employed,A religious person,Muslim,Working class,Need to be very careful
Very happy,1,Female,45,Early childhood education (ISCED 0) / no education,Homemaker not otherwise employed,A religious person,Muslim,Upper middle class,Need to be very careful
Not at all happy,10,Female,23,Early childhood education (ISCED 0) / no education,Homemaker not otherwise employed,A religious person,Muslim,Working class,Need to be very careful
Not very happy,9,Male,34,Upper secondary education (ISCED 3),Part time (less than 30 hours a week),A religious person,Muslim,Lower class,Need to be very careful
Quite happy,9,Male,37,Post-secondary non-tertiary education (ISCED 4),Self employed,Not a religious person,Muslim,Upper middle class,Most people can be trusted
Very happy,8,Male,41,Upper secondary education (ISCED 3),Part time (less than 30 hours a week),A religious person,Muslim,Lower class,Don't know
Not very happy,8,Male,41,Upper secondary education (ISCED 3),Part time (less than 30 hours a week),Not a religious person,Muslim,Lower class,Most people can be trusted
Very happy,8,Male,40,Bachelor or equivalent (ISCED 6),Self employed,Not a religious person,Muslim,Upper middle class,Need to be very careful
Very happy,6,Male,55,Short-cycle tertiary education (ISCED 5),Self employed,A religious person,Muslim,Upper middle class,Need to be very careful
Not very happy,8,Male,38,Upper secondary education (ISCED 3),Part time (less than 30 hours a week),An atheist,Muslim,Upper middle class,Need to be very careful
Quite happy,9,Male,44,Post-secondary non-tertiary education (ISCED 4),Part time (less than 30 hours a week),A religious person,Muslim,Lower class,Most people can be trusted
Quite happy,5,Male,33,Short-cycle tertiary education (ISCED 5),Part time (less than 30 hours a week),A religious person,Muslim,Lower class,Most people can be trusted
Quite happy,8,Male,42,Bachelor or equivalent (ISCED 6),Part time (less than 30 hours a week),A religious person,Muslim,Upper middle class,Need to be very careful
Very happy,3,Male,42,Post-secondary non-tertiary education (ISCED 4),Full time (30 hours a week or more),Not a religious person,Muslim,Upper middle class,Need to be very careful
Very happy,10,Male,30,Upper secondary education (ISCED 3),Part time (less than 30 hours a week),A religious person,Muslim,Lower middle class,Most people can be trusted
Very happy,10,Male,19,Post-secondary non-tertiary education (ISCED 4),Full time (30 hours a week or more),A religious person,Muslim,Lower middle class,Most people can be trusted
Very happy,5,Male,35,Post-secondary non-tertiary education (ISCED 4),Full time (30 hours a week or more),A religious person,Muslim,Working class,Most people can be trusted
Very happy,8,Male,28,Post-secondary non-tertiary education (ISCED 4),Full time (30 hours a week or more),A religious person,Muslim,Lower middle class,Most people can be trusted
Quite happy,8,Male,48,Bachelor or equivalent (ISCED 6),Full time (30 hours a week or more),A religious person,Muslim,Lower class,Most people can be trusted
Very happy,8,Male,24,Post-secondary non-tertiary education (ISCED 4),Full time (30 hours a week or more),A religious person,Muslim,Lower middle class,Most people can be trusted
Quite happy,4,Male,32,Lower secondary education (ISCED 2),Full time (30 hours a week or more),A religious person,Muslim,Upper middle class,Need to be very careful
Very happy,10,Male,52,Master or equivalent (ISCED 7),Part time (less than 30 hours a week),A religious person,Muslim,Lower middle class,Need to be very careful
Quite happy,1,Male,53,Primary education (ISCED 1),Full time (30 hours a week or more),A religious person,Muslim,Working class,Need to be very careful
Quite happy,1,Male,46,Post-secondary non-tertiary education (ISCED 4),Full time (30 hours a week or more),A religious person,Muslim,Lower middle class,Need to be very careful
Quite happy,1,Male,29,Upper secondary education (ISCED 3),Full time (30 hours a week or more),A religious person,Muslim,Lower middle class,Need to be very careful
Quite happy,1,Male,45,Post-secondary non-tertiary education (ISCED 4),Full time (30 hours a week or more),A religious person,Muslim,Lower middle class,Need to be very careful
Quite happy,1,Male,34,Lower secondary education (ISCED 2),Full time (30 hours a week or more),A religious person,Muslim,Lower middle class,Need to be very careful
Quite happy,1,Male,42,Post-secondary non-tertiary education (ISCED 4),Full time (30 hours a week or more),A religious person,Muslim,Lower middle class,Need to be very careful
Quite happy,1,Male,27,Early childhood education (ISCED 0) / no education,Full time (30 hours a week or more),A religious person,Muslim,Working class,Need to be very careful
Quite happy,1,Male,32,Lower secondary education (ISCED 2),Full time (30 hours a week or more),A religious person,Muslim,Upper middle class,Need to be very careful
Quite happy,1,Male,61,Early childhood education (ISCED 0) / no education,Retired/pensioned,A religious person,Muslim,Working class,Need to be very careful
Quite happy,9,Female,40,Early childhood education (ISCED 0) / no education,Homemaker not otherwise employed,A religious person,Muslim,Working class,Most people can be trusted
Not very happy,9,Female,38,Early childhood education (ISCED 0) / no education,Homemaker not otherwise employed,A religious person,Muslim,Lower class,Most people can be trusted
Quite happy,10,Female,39,Primary education (ISCED 1),Homemaker not otherwise employed,A religious person,Muslim,Lower middle class,Most people can be trusted
Quite happy,10,Female,43,Lower secondary education (ISCED 2),Homemaker not otherwise employed,A religious person,Muslim,Working class,Most people can be trusted
Not very happy,10,Female,38,Early childhood education (ISCED 0) / no education,Homemaker not otherwise employed,A religious person,Muslim,Working class,Need to be very careful
Quite happy,10,Female,35,Primary education (ISCED 1),Homemaker not otherwise employed,A religious person,Muslim,Working class,Need to be very careful
Quite happy,10,Female,30,Primary education (ISCED 1),Homemaker not otherwise employed,A religious person,Muslim,Lower class,Most people can be trusted
Quite happy,9,Female,35,Upper secondary education (ISCED 3),Homemaker not otherwise employed,A religious person,Muslim,Working class,Most people can be trusted
Quite happy,9,Female,50,Primary education (ISCED 1),Homemaker not otherwise employed,A religious person,Muslim,Lower class,Need to be very careful
Quite happy,9,Female,33,Early childhood education (ISCED 0) / no education,Homemaker not otherwise employed,A religious person,Muslim,Working class,Most people can be trusted
